name,iso_country,municipality,iata_code,,,,
Lokichoggio Airport,KE,Lokichoggio,LKG,,,,
Lodwar Airport,KE,Lodwar,LOK,,,,
Manda Airstrip,KE,Lamu,LAU,,,,
Loyengalani Airport,KE,Loyengalani,LOY,,,,
HÃ©roes De Malvinas Airport,AR,Tandil,TDL,,,,
Taldykorgan Airport,KZ,Taldy Kurgan,TDK,,,,
Malindi Airport,KE,Malindi,MYD,,,,
Mombasa Moi International Airport,KE,Mombasa,MBA,,,,
Mara Serena Lodge Airstrip,KE,Masai Mara,MRE,,,,
Tadjoura Airport,DJ,Tadjoura,TDJ,,,,
Tandag Airport,PH,,TDG,,,,
Teniente Av. Jorge Henrich Arauz Airport,BO,Trinidad,TDD,,,,
Tetebedi Airport,PG,Tetebedi,TDB,,,,
Trinidad Airport,CO,Trinidad,TDA,,,,
Tengchong Tuofeng Airport,CN,Tengchong,TCZ,,,,
Terrace Bay Airport,NA,Terrace Bay,TCY,,,,
Tabas Airport,IR,Tabas,TCX,,,,
Tocumwal Airport,AU,,TCW,,,,
Thaba Nchu Tar Airport,ZA,Homeward,TCU,,,,
Ghat Airport,LY,Ghat,GHT,,,,
Takotna Airport,US,Takotna,TCT,,,,
Truth Or Consequences Municipal Airport,US,Truth Or Consequences,TCS,,,,
Mitiga Airport,LY,Tripoli,MJI,,,,
La Abraq Airport,LY,Al Bayda',LAQ,,,,
Tuticorin Airport,IN,Thoothukudi,TCR,,,,
Coronel FAP Carlos Ciriani Santa Rosa International Airport,PE,Tacna,TCQ,,,,
Marsa Brega Airport,LY,,LMQ,,,,
Taba International Airport,EG,Taba,TCP,,,,
Hon Airport,LY,,HUQ,,,,
Ghadames East Airport,LY,Ghadames,LTD,,,,
La Florida Airport,CO,Tumaco,TCO,,,,
Tehuacan Airport,MX,,TCN,,,,
Erandique Airport,HN,Erandique,EDQ,,,,
Nhon Co Airfield,VN,Quang Duc,HOO,,,,
Sary Su Airport,KZ,Zhayrem,HRC,,,,
Gisenyi Airport,RW,Gisenyi,GYI,,,,
McChord Air Force Base,US,Tacoma,TCM,,,,
Kigali International Airport,RW,Kigali,KGL,,,,
Tuscaloosa Regional Airport,US,Tuscaloosa,TCL,,,,
Kamembe Airport,RW,Kamembe,KME,,,,
Tinboli Airport,PG,Tinboli,TCK,,,,
El Debba Airport,SD,El Debba,EDB,,,,
Torembi Airport,PG,Torembi,TCJ,,,,
Tchibanga Airport,GA,Tchibanga,TCH,,,,
Paloich Airport,AF,SS-23,HSFA,,,,
El Fasher Airport,SD,El Fasher,ELF,,,,
Azaza Airport,SD,Gedaref,GSU,,,,
Tacheng Airport,CN,Tacheng,TCG,,,,
Geneina Airport,SD,Geneina,EGN,,,,
Heglig Airport,SD,Heglig Oilfield,HEG,,,,
Shangjie Airport,CN,Zhengzhou,HSJ,,,,
Kassala Airport,SD,Kassala,KSL,,,,
Khashm El Girba Airport,SD,Khashm El Girba,GBU,,,,
Kosti Airport,SD,Kosti,KST,,,,
Kadugli Airport,SD,Kadugli,KDX,,,,
Tulcea Airport,RO,Tulcea,TCE,,,,
Merowe New Airport,SD,Merowe,MWE,,,,
TarapacÃ¡ Airport,CO,TarapacÃ¡,TCD,,,,
Tucumcari Municipal Airport,US,Tucumcari,TCC,,,,
Treasure Cay Airport,BS,Treasure Cay,TCB,,,,
El Obeid Airport,SD,Al-Ubayyid,EBD,,,,
Tennant Creek Airport,AU,Tennant Creek,TCA,,,,
Juba International Airport,SS,Juba,JUB,,,,
Malakal Airport,SS,Malakal,MAK,,,,
Khartoum International Airport,SD,Khartoum,KRT,,,,
Tabriz International Airport,IR,Tabriz,TBZ,,,,
Tshabong Airport,BW,Tshabong,TBY,,,,
Donskoye Airport,RU,Tambov,TBW,,,,
Tabal Airstrip,MH,Tabal Island,TBV,,,,
Fua'amotu International Airport,TO,Nuku'alofa,TBU,,,,
Tabatinga Airport,BR,Tabatinga,TBT,,,,
Tbilisi International Airport,GE,Tbilisi,TBS,,,,
Statesboro Bulloch County Airport,US,Statesboro,TBR,,,,
Songwe Airport,TZ,Mbeya,MBI,,,,
Iringa Airport,TZ,Nduli,IRI,,,,
Tarabo Airport,PG,Tarabo,TBQ,,,,
Kilwa Masoko Airport,TZ,Kilwa Masoko,KIY,,,,
Kilimanjaro International Airport,TZ,Arusha,JRO,,,,
Lindi Airport,TZ,Lindi,LDI,,,,
Lake Manyara Airport,TZ,Lake Manyara National Park,LKY,,,,
Khatgal Airport,MN,Hatgal,HTM,,,,
Mafia Island Airport,TZ,Mafia Island,MFA,,,,
Mwadui Airport,TZ,Mwadui,MWN,,,,
Capitan FAP Pedro Canga Rodriguez Airport,PE,Tumbes,TBP,,,,
Tabora Airport,TZ,Tabora,TBO,,,,
Waynesville-St. Robert Regional Forney field,US,Fort Leonard Wood,TBN,,,,
Tumbang Samba Airport,ID,Tumbang Samba-Borneo Island,TBM,,,,
Musoma Airport,TZ,Musoma,MUZ,,,,
Mwanza Airport,TZ,Mwanza,MWZ,,,,
Tableland Homestead Airport,AU,,TBL,,,,
Njombe Airport,TZ,Njombe,JOM,,,,
Timber Creek Airport,AU,,TBK,,,,
Tabarka 7 Novembre Airport,TN,Tabarka,TBJ,,,,
New Bight Airport,BS,Cat Island,TBI,,,,
Tugdan Airport,PH,Tablas Island,TBH,,,,
Tabubil Airport,PG,Tabubil,TBG,,,,
Tabiteuea North Airport,KI,,TBF,,,,
Timbunke Airport,PG,Timbunke,TBE,,,,
Tuba City Airport,US,Tuba City,TBC,,,,
Dong Tac Airport,VN,Tuy Hoa,TBB,,,,
Entebbe International Airport,UG,Kampala,EBB,,,,
Tabibuga Airport,PG,Tabibuga,TBA,,,,
Jinja Airport,UG,Jinja,JIN,,,,
Kololo Airstrip,UG,Kampala,KLA,,,,
DaÅŸoguz Airport,TM,DaÅŸoguz,TAZ,,,,
Kasese Airport,UG,Kasese,KSE,,,,
Mbarara Airport,UG,Mbarara,MBQ,,,,
Masindi Airport,UG,Masindi,KCU,,,,
Tartu Airport,EE,Tartu,TAY,,,,
Taliabu Island Airport,ID,Tikong-Taliabu Island,TAX,,,,
Hawabango Airport,PG,Hawabango,HWA,,,,
Hollis Clark Bay Seaplane Base,US,Hollis,HYL,,,,
Iboki Airport,PG,Iboki,IBI,,,,
Indigo Bay Lodge Airport,MZ,Bazaruto Island,IBL,,,,
Sicogon Airstrip,PH,Sicogon Island,ICO,,,,
Tacuarembo Airport,UY,Tacuarembo,TAW,,,,
Tau Airport,AS,Tau Village,TAV,,,,
Tauramena Airport,CO,Tauramena,TAU,,,,
Poprad-Tatry Airport,SK,Poprad,TAT,,,,
Tashkent International Airport,UZ,Tashkent,TAS,,,,
Taranto-Grottaglie Marcello Arlotta Airport,IT,Grottaglie,TAR,,,,
Tarcoola Airport,AU,Tarcoola,TAQ,,,,
Tapachula International Airport,MX,Tapachula,TAP,,,,
Liuting Airport,CN,Qingdao,TAO,,,,
Tangalooma Airport,AU,,TAN,,,,
General Francisco Javier Mina International Airport,MX,Tampico,TAM,,,,
Ralph M Calhoun Memorial Airport,US,Tanana,TAL,,,,
Elelim Airport,ID,Elelim-Papua Island,ELR,,,,
Ewer Airport,ID,Asmat,EWE,,,,
Kornasoren Airfield,ID,Kornasoren-Numfoor Island,FOO,,,,
Gag Island Airport,ID,Gag Island,GAV,,,,
Ilu Airport,ID,Ilu-Papua Island,IUL,,,,
Karubaga Airport,ID,Karubaga-Papua Island,KBF,,,,
Kambuaya Airport,ID,Kambuaya-Papua Island,KBX,,,,
Kamur Airport,ID,Kamur-Papua Island,KCD,,,,
Kon Airport,TL,Kon,KCI,,,,
Keisah Airport,ID,Keisah-Papua Island,KEA,,,,
Kiman Airport,ID,Kiman-Papua Island,KMM,,,,
Kotabangun Airport,ID,Kotabangun-Borneo Island,KOD,,,,
Departi Parbo Airport,ID,Sungai Penuh,KRC,,,,
Dewadaru Airport,ID,Karimunjawa-Karimunjawa Island,KWB,,,,
Kelila Airport,ID,Kelila-Papua Island,LLN,,,,
Lewoleba Airport,ID,Lewoleba-Lembata Island,LWE,,,,
Lunyuk Airport,ID,Lunyuk-Simbawa Island,LYK,,,,
Mangunjaya Airport,ID,Mangungaya-Sumatra Island,MJY,,,,
Maliana airport,ID,Maliana-Alor Island,MPT,,,,
Masalembo Airport,ID,Masalembo Island,MSI,,,,
Muting Airport,ID,Muting,MUF,,,,
Takamatsu Airport,JP,Takamatsu,TAK,,,,
Tadji Airport,PG,Aitape,TAJ,,,,
Ta'izz International Airport,YE,Ta'izz,TAI,,,,
Tanna Airport,VU,,TAH,,,,
Tagbilaran Airport,PH,Tagbilaran City,TAG,,,,
Tafaraoui Airport,DZ,,TAF,,,,
Daegu Airport,KR,Daegu,TAE,,,,
Perry Stokes Airport,US,Trinidad,TAD,,,,
Daniel Z. Romualdez Airport,PH,Tacloban City,TAC,,,,
Tobago-Crown Point Airport,TT,Scarborough,TAB,,,,
Tarapaina Airport,SB,Tarapaina,TAA,,,,
Szczecin-GoleniÃ³w SolidarnoÅ›Ä‡ Airport,PL,Goleniow,SZZ,,,,
Olsztyn-Mazury Airport,PL,Olsztyn,SZY,,,,
Shenzhen Bao'an International Airport,CN,Shenzhen,SZX,,,,
Indagen Airport,PG,Indagen,IDN,,,,
Ileg Airport,PG,Ileg,ILX,,,,
Inhaminga Airport,MZ,Inhaminga,IMG,,,,
Schwerin Parchim Airport,DE,,SZW,,,,
Jagdalpur Airport,IN,Jagdalpur,JGB,,,,
Suzhou Guangfu Airport,CN,Suzhou,SZV,,,,
San Cristobal de las Casas Airport,MX,San Cristobal de las Casas,SZT,,,,
Ryan's Creek Aerodrome,NZ,Oban,SZS,,,,
Chinde Airport,MZ,Chinde,INE,,,,
Iokea Airport,PG,Iokea,IOK,,,,
Ioma Airport,PG,Ioma,IOP,,,,
Khaneh Airport,IR,Khaneh,KHA,,,,
Qeshm International Airport,IR,Qeshm,GSM,,,,
Iranamadu Seaplane Base,LK,Iranamadu,IRU,,,,
New Ishigaki Airport,JP,Ishigaki,ISG,,,,
Stara Zagora Airport,BG,Stara Zagora,SZR,,,,
Itokama Airport,PG,Itokama,ITK,,,,
Inus Airport,PG,Inus,IUS,,,,
Ivishak Airport,US,Ivishak River,IVH,,,,
Viveros Island Airport,PA,Isla Viveros,IVI,,,,
Jiagedaqi Airport,CN,Jiagedaqi,JGD,,,,
Jinchuan Airport,CN,Jinchang,JIC,,,,
Jos Orno Imsula Airport,ID,Tiakur,JIO,,,,
Qianjiang Wulingshan Airport,CN,Qianjiang,JIQ,,,,
Comandante Ariston Pessoa Airport,BR,Jijoca de Jericoacoara,JJD,,,,
Quartz Creek Airport,US,Cooper Landing,JLA,,,,
O R Tambo International,ZA,Johannesburg,JNB,,,,
Josephstaal Airport,PG,Josephstaal,JOP,,,,
Pan Am Building Heliport,US,New York,JPB,,,,
Pentagon Army Heliport,US,Washington,JPN,,,,
West 30th St. Heliport,US,New York,JRA,,,,
Downtown-Manhattan/Wall St Heliport,US,New York,JRB,,,,
Jiuhuashan Airport,CN,Chizhou,JUH,,,,
Bower,NA,US-NJ,JY20,,,,
Saenz PeÃ±a Airport,AR,Presidencia Roque SÃ¡enz PeÃ±a,SZQ,,,,
Santa Paula Airport,US,Santa Paula,SZP,,,,
Eureka Airport,US,Eureka,EUE,,,,
Jackpot Airport/Hayden Field,US,Jackpot,KPT,,,,
Santa Cruz Island Airport,US,Santa Barbara,SZN,,,,
Elizabeth Field,US,Fishers Island,FID,,,,
Humboldt Municipal Airport,US,Humboldt,HUD,,,,
Sesriem Airstrip,NA,,SZM,,,,
Kayenta Airport,US,Kayenta,MVM,,,,
Columbia County Airport,US,Hudson,HCC,,,,
Whiteman Air Force Base,US,Knob Noster,SZL,,,,
Grand Canyon West Airport,US,Peach Springs,GCW,,,,
Skukuza Airport,ZA,Skukuza,SZK,,,,
Siguanea Airport,CU,Isla de la Juventud,SZJ,,,,
Zaysan Airport,KZ,Zaysan,SZI,,,,
Senipah Heliport,ID,Senipah,SZH,,,,
Salzburg Airport,AT,Salzburg,SZG,,,,
Samsun Ã‡arÅŸamba Airport,TR,Samsun,SZF,,,,
Iraan Municipal Airport,US,Iraan,IRB,,,,
Gansner Field,US,Quincy,GNF,,,,
Semera Airport,ET,Semera,SZE,,,,
St. Mary's County Regional Airport,US,Leonardtown,LTW,,,,
Union County,NA,US-SC,K35A,,,,
Sultan Abdul Aziz Shah International Airport,MY,Subang,SZB,,,,
Soyo Airport,AO,Soyo,SZA,,,,
Shiraz Shahid Dastghaib International Airport,IR,Shiraz,SYZ,,,,
Stornoway Airport,GB,Stornoway,SYY,,,,
Grants Pass Airport,US,Grants Pass,GTP,,,,
Sanya Phoenix International Airport,CN,Sanya,SYX,,,,
Grand Coulee Dam Airport,US,Electric City,GCD,,,,
Sehwan Sharif Airport,PK,Sehwan Sharif,SYW,,,,
Perry-Foley Airport,US,Perry,FPY,,,,
Sylvester Airport,US,Sylvester,SYV,,,,
Mount Pleasant Airport,US,Mount Pleasant,MSD,,,,
Warraber Island Airport,AU,Sue Islet,SYU,,,,
Central Jersey Regional Airport,US,Manville,JVI,,,,
Saint-Yan Airport,FR,Saint-Yan,SYT,,,,
Gold Beach Municipal Airport,US,Gold Beach,GOL,,,,
Kentland Municipal Airport,US,Kentland,KKT,,,,
Saskylakh Airport,RU,Saskylakh,SYS,,,,
Maverick County Memorial International Airport,US,Eagle Pass,EGP,,,,
Syracuse Hancock International Airport,US,Syracuse,SYR,,,,
Mesquite Airport,US,Mesquite,MFH,,,,
Iosco County Airport,US,East Tawas,ECA,,,,
Florence Municipal Airport,US,Florence,FMU,,,,
Tobias Bolanos International Airport,CR,San Jose,SYQ,,,,
Ruben Cantu Airport,PA,Santiago,SYP,,,,
Shonai Airport,JP,Shonai,SYO,,,,
Stanton Airfield,US,Stanton,SYN,,,,
Pu'er Simao Airport,CN,Pu'er,SYM,,,,
Roberts Army Heliport,US,Camp Roberts/San Miguel,SYL,,,,
StykkishÃ³lmur Airport,IS,StykkishÃ³lmur,SYK,,,,
Sirjan Airport,IR,,SYJ,,,,
Bomar Field Shelbyville Municipal Airport,US,Shelbyville,SYI,,,,
Syangboche Airport,NP,Namche Bazaar,SYH,,,,
Silva Bay Seaplane Base,CA,Gabriola Island,SYF,,,,
Sadah Airport,YE,Sadah,SYE,,,,
Sydney Kingsford Smith International Airport,AU,Sydney,SYD,,,,
Shiringayoc Airport,PE,Shiringayoc,SYC,,,,
Seal Bay Seaplane Base,US,Seal Bay,SYB,,,,
Eareckson Air Station,US,Shemya,SYA,,,,
Siirt Airport,TR,Siirt,SXZ,,,,
Sidney Municipal Airport,US,Sidney,SXY,,,,
SÃ£o FÃ©lix do Xingu Airport,BR,SÃ£o FÃ©lix Do Xingu,SXX,,,,
Sauren Airport,PG,Sauren,SXW,,,,
Salem Airport,IN,Salem,SXV,,,,
Soddu Airport,ET,Soddu,SXU,,,,
Sungai Tiang Airport,MY,Taman Negara,SXT,,,,
Kake Seaplane Base,US,Kake,KAE,,,,
Sahabat [Sahabat 16] Airport,MY,Sahabat,SXS,,,,
Sheikh ul Alam Airport,IN,Srinagar,SXR,,,,
Karato Airport,PG,Karato,KAF,,,,
Soldotna Airport,US,Soldotna,SXQ,,,,
Nunam Iqua Airport,US,Nunam Iqua,SXP,,,,
SÃ£o FÃ©lix do Araguaia Airport,BR,SÃ£o FÃ©lix Do Araguaia,SXO,,,,
Sua Pan Airport,BW,Sowa,SXN,,,,
Princess Juliana International Airport,SX,Saint Martin,SXM,,,,
Sligo Airport,IE,Sligo,SXL,,,,
Saumlaki/Olilit Airport,ID,Saumlaki-Yamdena Island,SXK,,,,
Shanshan Airport,CN,Shanshan,SXJ,,,,
Sirri Island Airport,IR,,SXI,,,,
Sehulea Airport,PG,Sehulea,SXH,,,,
Senanga Airport,ZM,Senanga,SXG,,,,
Berlin-SchÃ¶nefeld Airport,DE,Berlin,SXF,,,,
West Sale Airport,AU,Sale,SXE,,,,
Strasbourg Airport,FR,Strasbourg,SXB,,,,
Sialum Airport,PG,Sialum,SXA,,,,
Sitiawan Airport,MY,Sitiawan,SWY,,,,
Shakawe Airport,BW,Shakawe,SWX,,,,
Avenger Field,US,Sweetwater,SWW,,,,
Shikarpur Airport,PK,Shikarpur,SWV,,,,
Suwon Airport,KR,,SWU,,,,
Strezhevoy Airport,RU,Strezhevoy,SWT,,,,
Swansea Airport,GB,Swansea,SWS,,,,
Silur Airport,PG,Silur Mission,SWR,,,,
Sumbawa Besar Airport,ID,Sumbawa Island,SWQ,,,,
Swakopmund Airport,NA,Swakopmund,SWP,,,,
Stillwater Regional Airport,US,Stillwater,SWO,,,,
Sahiwal Airport,PK,Sahiwal,SWN,,,,
Suia-Missu Airport,BR,Alto Boa Vista,SWM,,,,
San Vicente Airport,PH,San Vicente,SWL,,,,
Southwest Bay Airport,VU,Malekula Island,SWJ,,,,
Swan Hill Airport,AU,,SWH,,,,
Satwag Airport,PG,Satwag,SWG,,,,
New York Stewart International Airport,US,Newburgh,SWF,,,,
Siwea Airport,PG,Siwea,SWE,,,,
Seward Airport,US,Seward,SWD,,,,
Stawell Airport,AU,,SWC,,,,
Shaw River Airport,AU,Shaw River,SWB,,,,
Jieyang Chaoshan International Airport,CN,Shantou,SWA,,,,
San Antonio Del Tachira Airport,VE,,SVZ,,,,
Koltsovo Airport,RU,Yekaterinburg,SVX,,,,
Sparrevohn LRRS Airport,US,Sparrevohn,SVW,,,,
San Salvador de Paul Airport,VE,San Salvador de Paul,SVV,,,,
Savusavu Airport,FJ,Savusavu,SVU,,,,
Savuti Airport,BW,Savuti,SVT,,,,
Stevens Village Airport,US,Stevens Village,SVS,,,,
Savissivik Heliport,GL,Savissivik,SVR,,,,
Sevilla Airport,ES,Sevilla,SVQ,,,,
Kuito Airport,AO,Kuito,SVP,,,,
Kamulai Airport,PG,Kamulai Mission,KAQ,,,,
Sheremetyevo International Airport,RU,Moscow,SVO,,,,
Hunter Army Air Field,US,Savannah,SVN,,,,
Savonlinna Airport,FI,Savonlinna,SVL,,,,
Silver Creek Airport,BZ,Silver Creek,SVK,,,,
SvolvÃ¦r Helle Airport,NO,SvolvÃ¦r,SVJ,,,,
Eduardo Falla Solano Airport,CO,San Vicente Del CaguÃ¡n,SVI,,,,
Statesville Regional Airport,US,Statesville,SVH,,,,
Stavanger Airport Sola,NO,Stavanger,SVG,,,,
SavÃ© Airport,BJ,SavÃ©,SVF,,,,
Susanville Municipal Airport,US,Susanville,SVE,,,,
Argyle International Airport,VC,Kingstown,SVD,,,,
E. T. Joshua Airport,VC,Kingstown,SVD,,,,
Grant County Airport,US,Silver City,SVC,,,,
Sambava Airport,MG,,SVB,,,,
Savoonga Airport,US,Savoonga,SVA,,,,
Suria Airport,PG,Suria,SUZ,,,,
Suntar Airport,RU,Suntar,SUY,,,,
Sioux Gateway Airport/Brigadier General Bud Day Field,US,Sioux City,SUX,,,,
Richard I Bong Airport,US,Superior,SUW,,,,
Nausori International Airport,FJ,Nausori,SUV,,,,
Travis Air Force Base,US,Fairfield,SUU,,,,
Sumbawanga Airport,TZ,Sumbawanga,SUT,,,,
Spirit of St Louis Airport,US,St Louis,SUS,,,,
Summer Beaver Airport,CA,Summer Beaver,SUR,,,,
Sucua Airport,EC,Sucua,SUQ,,,,
Trunojoyo Airport,ID,Sumenep-Madura Island,SUP,,,,
Sunriver Airport,US,Sunriver,SUO,,,,
Friedman Memorial Airport,US,Hailey,SUN,,,,
Sumter Airport,US,Sumter,SUM,,,,
Sui Airport,PK,Sui,SUL,,,,
Sakkyryr Airport,RU,Batagay-Alyta,SUK,,,,
Satu Mare Airport,RO,Satu Mare,SUJ,,,,
Sukhumi Dranda Airport,GE,Sukhumi,SUI,,,,
Sur Airport,OM,Sur,SUH,,,,
Surigao Airport,PH,Surigao City,SUG,,,,
Lamezia Terme Airport,IT,Lamezia Terme (CZ),SUF,,,,
Door County Cherryland Airport,US,Sturgeon Bay,SUE,,,,
Stroud Municipal Airport,US,Stroud,SUD,,,,
Juanda International Airport,ID,Surabaya,SUB,,,,
Witham Field,US,Stuart,SUA,,,,
Santa Terezinha Airport,BR,Santa Terezinha,STZ,,,,
Nueva Hesperides International Airport,UY,Salto,STY,,,,
Henry E Rohlsen Airport,VI,Christiansted,STX,,,,
Stavropol Shpakovskoye Airport,RU,Stavropol,STW,,,,
Surat Airport,IN,,STV,,,,
Santa Cruz Airport,BZ,Santa Cruz,STU,,,,
Charles M. Schulz Sonoma County Airport,US,Santa Rosa,STS,,,,
Stuttgart Airport,DE,Stuttgart,STR,,,,
St Marys Municipal Airport,US,St Marys,STQ,,,,
St Paul Downtown Holman Field,US,St Paul,STP,,,,
London Stansted Airport,GB,London,STN,,,,
Maestro Wilson Fonseca Airport,BR,SantarÃ©m,STM,,,,
St Louis Lambert International Airport,US,St Louis,STL,,,,
Sterling Municipal Airport,US,Sterling,STK,,,,
Rosecrans Memorial Airport,US,St Joseph,STJ,,,,
Cibao International Airport,DO,Santiago,STI,,,,
Strathmore Airport,AU,,STH,,,,
St George Airport,US,St George,STG,,,,
Bell Island Hot Springs Seaplane Base,US,Bell Island,KBE,,,,
Stephens Island Seaplane Base,AU,Stephens Island,STF,,,,
Stevens Point Municipal Airport,US,Stevens Point,STE,,,,
Mayor Buenaventura Vivas International Airport,VE,Santo Domingo,STD,,,,
St Cloud Regional Airport,US,St Cloud,STC,,,,
Santa BÃ¡rbara del Zulia Airport,VE,,STB,,,,
Stauning Airport,DK,Skjern / RingkÃ¸bing,STA,,,,
Base AÃ©rea de Santos Airport,BR,GuarujÃ¡,SSZ,,,,
Mbanza Congo Airport,AO,Mbanza Congo,SSY,,,,
Singita Safari Lodge Airport,ZA,Singita Safari Lodge,SSX,,,,
Stuart Island Airpark,US,Stuart Island,SSW,,,,
Siasi Airport,PH,Siasi Island,SSV,,,,
Greenbrier Airport,US,White Sulphur Springs,SSU,,,,
Santa Teresita Airport,AR,Santa Teresita,SST,,,,
Siassi Airport,PG,Siassi,SSS,,,,
Sara Airport,VU,Pentecost Island,SSR,,,,
La Sarre Airport,CA,La Sarre,SSQ,,,,
Silver Plains Airport,AU,Silver Plains,SSP,,,,
SÃ£o LourenÃ§o Airport,BR,SÃ£o LourenÃ§o,SSO,,,,
Seoul Air Base (K-16),KR,Simgok-dong,SSN,,,,
Santa Rosalia Airport,CO,Santa Rosalia,SSL,,,,
Sturt Creek Airport,AU,Sturt Creek,SSK,,,,
SandnessjÃ¸en Airport (Stokka),NO,Alstahaug,SSJ,,,,
St Simons Island Airport,US,St Simons Island,SSI,,,,
Sharm El Sheikh International Airport,EG,Sharm el-Sheikh,SSH,,,,
Malabo Airport,GQ,Malabo,SSG,,,,
Stinson Municipal Airport,US,San Antonio,SSF,,,,
Solapur Airport,IN,Solapur,SSE,,,,
VÃ,CL,San Felipe,SSD,,,,
Shaw Air Force Base,US,Sumter,SSC,,,,
Christiansted Harbor Seaplane Base,VI,Christiansted St Croix,SSB,,,,
Deputado Luiz Eduardo MagalhÃ£es International Airport,BR,Salvador,SSA,,,,
El Trompillo Airport,BO,Santa Cruz,SRZ,,,,
Dasht-e Naz Airport,IR,Sari,SRY,,,,
Gardabya Airport,LY,Sirt,SRX,,,,
Mid-Carolina Regional Airport,US,Salisbury,SRW,,,,
Stony River 2 Airport,US,Stony River,SRV,,,,
Santa Cruz Sky Park,US,Scotts Valley,SRU,,,,
Soroti Airport,UG,Soroti,SRT,,,,
Kabwum,PG,,KBM,,,,
San Marcos Airport,CO,San Marcos,SRS,,,,
Dunwich Airport,AU,Stradbroke Island,SRR,,,,
Sarasota Bradenton International Airport,US,Sarasota/Bradenton,SRQ,,,,
Stord Airport,NO,Leirvik,SRP,,,,
Santana Ramos Airport,CO,Santana Ramos,SRO,,,,
Strahan Airport,AU,,SRN,,,,
Sandringham Airport,AU,Sandringham Station,SRM,,,,
Palo Verde Airport,MX,Santa Rosalia,SRL,,,,
Siorapaluk Heliport,GL,Siorapaluk,SRK,,,,
CapitÃ¡n Av. German Quiroga G. Airport,BO,San Borja,SRJ,,,,
Sarh Airport,TD,Sarh,SRH,,,,
Achmad Yani Airport,ID,Semarang-Java Island,SRG,,,,
Hamilton Field,US,San Rafael,SRF,,,,
Big Spring Mc Mahon-Wrinkle Airport,US,Big Spring,HCA,,,,
AlcantarÃ,BO,Yamparaez,SRE,,,,
San RamÃ³n Airport,BO,San RamÃ³n / MamorÃ©,SRD,,,,
Santa Rosa De Yacuma Airport,BO,Santa Rosa,SRB,,,,
Santa Rosa Airport,BR,Santa Rosa,SRA,,,,
RAF Scampton,GB,Scampton,SQZ,,,,
SÃ£o LourenÃ§o do Sul Airport,BR,SÃ£o LourenÃ§o Do Sul,SQY,,,,
SÃ£o Miguel do Oeste Airport,BR,SÃ£o Miguel Do Oeste,SQX,,,,
Skive Airport,DK,Skive,SQW,,,,
Sequim Valley Airport,US,Sequim,SQV,,,,
Saposoa Airport,PE,Plaza Saposoa,SQU,,,,
China Strait Airstrip,PG,Samarai Island,SQT,,,,
Matthew Spain Airport,BZ,San Ignacio,SQS,,,,
Soroako Airport,ID,Soroako-Celebes Island,SQR,,,,
Å iauliai International Airport,LT,Å iauliai,SQQ,,,,
Storuman Airport,SE,,SQO,,,,
Emalamo Sanana Airport,ID,Sanana-Seram Island,SQN,,,,
SÃ£o Miguel do Araguaia Airport,BR,SÃ£o Miguel Do Araguaia,SQM,,,,
San Carlos Airport,US,San Carlos,SQL,,,,
Sidi Barrani Airport,EG,Sidi Barrani,SQK,,,,
Shaxian Airport,CN,Sanming,SQJ,,,,
Whiteside County Airport-Joseph H Bittorf Field,US,Sterling/Rockfalls,SQI,,,,
Na-San Airport,VN,Son-La,SQH,,,,
Skagit Regional Airport,US,Burlington/Mount Vernon,MVW,,,,
Sintang(Susilo) Airport,ID,Sintang-Borneo Island,SQG,,,,
Solano Airport,CO,Solano,SQF,,,,
San Luis De Palenque Airport,CO,San Luis De Palenque,SQE,,,,
Shangrao Sanqingshan Airport,CN,Shangrao,SQD,,,,
Southern Cross Airport,AU,,SQC,,,,
Santa Ana Airport,CO,Piedras,SQB,,,,
Santa Ynez Airport,US,Santa Ynez,SQA,,,,
Springdale Municipal Airport,US,Springdale,SPZ,,,,
San Pedro Airport,CI,,SPY,,,,
Houston Gulf Airport,US,Houston,SPX,,,,
Spencer Municipal Airport,US,Spencer,SPW,,,,
Sepik Plains Airport,PG,Sepik Plains,SPV,,,,
Split Airport,HR,Split,SPU,,,,
Sipitang Airport,MY,Sipitang,SPT,,,,
Sheppard Air Force Base-Wichita Falls Municipal Airport,US,Wichita Falls,SPS,,,,
San Pedro Airport,BZ,San Pedro,SPR,,,,
Catalina Air-Sea Terminal Heliport,US,San Pedro,SPQ,,,,
Menongue Airport,AO,Menongue,SPP,,,,
Saipan International Airport,MP,Saipan Island,SPN,,,,
Spangdahlem Air Base,DE,Trier,SPM,,,,
Sparti Airport,GR,Sparti,SPJ,,,,
Abraham Lincoln Capital Airport,US,Springfield,SPI,,,,
Sopu Airport,PG,Sopu,SPH,,,,
Albert Whitted Airport,US,St Petersburg,SPG,,,,
Black Hills Airport-Clyde Ice Field,US,Spearfish,SPF,,,,
Sepulot Airport,MY,Sepulot,SPE,,,,
Saidpur Airport,BD,Saidpur,SPD,,,,
Charlotte Amalie Harbor Seaplane Base,VI,Charlotte Amalie St Thomas,SPB,,,,
Spartanburg Downtown Memorial Airport,US,Spartanburg,SPA,,,,
Coffman Cove Seaplane Base,US,Coffman Cove,KCC,,,,
Solenzara (BA 126) Air Base,FR,Solenzara,SOZ,,,,
Stronsay Airport,GB,Stronsay,SOY,,,,
Alberto Lleras Camargo Airport,CO,Sogamoso,SOX,,,,
